Date,Actual_Temperature,Predicted_Temperature_Day1,Predicted_Temperature_Day2,Predicted_Temperature_Day3
30-5-2024,38.0,39.0,39.0,37.0
31-5-2024,39.0,39.0,38.0,35.0
1-6-2024,38.0,38.0,34.0,35.0
2-6-2024,37.0,35.0,34.0,34.0
3-6-2024,31.0,35.0,34.0,34.0
4-6-2024,34.0,32.0,32.0,33.0
5-6-2024,33.0,33.0,32.0,32.0
6-6-2024,32.0,33.0,33.0,33.0
7-6-2024,31.0,32.0,31.0,31.0
8-6-2024,31.0,29.0,29.0,27.0
9-6-2024,29.0,30.0,31.0,31.0
10-6-2024,30.0,30.0,31.0,32.0
11-6-2024,29.0,32.0,31.0,32.0
12-6-2024,31.0,33.0,32.0,33.0
13-6-2024,32.0,30.0,32.0,33.0
14-6-2024,31.0,32.0,33.0,33.0
15-6-2024,32.0,33.0,33.0,32.0
16-6-2024,33.0,34.0,33.0,33.0
17-6-2024,34.0,32.0,32.0,32.0
18-6-2024,32.0,33.0,33.0,33.0
19-6-2024,32.0,32.0,32.0,31.0
20-6-2024,32.0,33.0,31.0,30.0
21-6-2024,31.0,30.0,29.0,31.0
22-6-2024,31.0,31.0,32.0,32.0
23-6-2024,31.0,33.0,32.0,32.0
24-6-2024,31.5,32.5,30.5,30.0
25-6-2024,32.0,32.0,29.0,28.0
26-6-2024,32.0,28.0,29.0,31.0
27-6-2024,29.0,29.0,30.0,31.0
28-6-2024,29.5,30.0,30.5,31.5
29-6-2024,30.0,31.0,31.0,32.0
30-6-2024,29.0,31.0,32.0,32.0
1-7-2024,29.6,31.2,31.8,31.6
2-7-2024,30.2,31.4,31.6,31.2
3-7-2024,30.8,31.6,31.4,30.8
4-7-2024,31.4,31.8,31.2,30.4
5-7-2024,32.0,32.0,31.0,30.0
6-7-2024,31.0,30.0,30.0,29.0
7-7-2024,29.0,29.0,28.0,29.0
8-7-2024,29.0,28.0,29.0,29.0
9-7-2024,29.0,29.0,30.0,31.0
10-7-2024,29.0,30.0,31.0,30.0
